,Entite,Label,Version,liste_contxt_gauche,liste_contxt_droit
100,Ee,LOC,kraken,"eedtt
 ¬

"," -¬
v.
. ’"
101,E,LOC,kraken," e¬:
   
 ","
1 

2 d- "
102,Eeil,LOC,kraken,".
-i

ap.
", s eeſeiee
103,Floes,LOC,kraken,"leeſe rei
"," eer-
I.
."
104,E,LOC,kraken,"n
 -i;
e. ","
oe e e e "
105,Ca,LOC,kraken,"eaoee
 S¬
","
 ¬
lrdle "
106,ile idle e eo  lſeie,LOC,kraken,"ei
ere et ", eier ſe i
107,S,LOC,kraken,"
 E
-e  .
",":Lãdi
le d"
108,Lãdi,LOC,kraken,"E
-e  .
S:","
le dlte i"
109,"Peeis
2i",LOC,kraken," ce l e ſ
","
a
...
e e"
110,"Fee e   da  ei ſieiſieet
i
Le
 
e e eeoid is ee e",LOC,kraken,"-e ee rr 
", a  e i io
111,V1LLAGE,LOC,kraken,"3.
88
MON ",".
flatte l"
112,Ftt,LOC,kraken,"e borgne.
",-ce si mon
113,prechez,LOC,kraken," le cure, ", les bonne
114,MN,LOC,kraken,"niLr-----
"," WILLAGE.
"
115,Perpetue,LOC,kraken,apetiote  ,", Jeacquet"
116,"Saint-
Brunelle",LOC,kraken,retire de ,", est une "
117,vILLAGE,LOC,kraken,salle:MON ,".
- He? lu"
118,Tache,LOC,kraken,"outte.
-- ",", Manot, d"
119,Manot,LOC,kraken,"-- Tache, ",", de taire"
120,Manot,LOC,kraken,"iens, dit ",", comme si"
121,tournee,LOC,kraken,habile et , comme toi
122,Ca,LOC,kraken,"sement.
- ", n'empeche
123,V1LLAGE,LOC,kraken,"dalW-
MON ",".
- Bah 1 "
124,etais,LOC,kraken,"te si
j'y ",".
L]MADAMI"
125,Ir,LOC,kraken,"C
’Ze .
 
","
 ¬
ee.
e."
126,I,LOC,kraken," ete
 
2  "," ,
ue 

5
"
127,Aee,LOC,kraken,"
,e,
:
ſe ","
e 5 ,¬
a¬"
128,E,LOC,kraken,"¬
. 
ee!,
","
.
 Sr

Ee"
129,¬1,LOC,kraken,".’8
..
 .
","
l e eese "
130,Sbi,LOC,kraken,"

   
eee ","; e¬?
 , ¬"
131,VT ZA,LOC,kraken,"
 ..
t ’ 
"," .
ep,
..
"
132,"¬ ¬1
aai",LOC,kraken," e  ie
 5
","
e
a
r e.
"
133,E,LOC,kraken," u-erP¬
 
"," n
S ¬
t e"
134,ue5 i,LOC,kraken,"p&
 .¬
 l
","  au
e e e"
135,SA’5,LOC,kraken," -a3
 
 l
",",
a  ¬
S  "
136,e-E,LOC,kraken,ei  ire ’ ," ¬
 ee a
e"
137,"e’v ’
edeee e S e",LOC,kraken,"2 
 e
. . ", de l e aA
138,E,LOC,kraken,"l ees  
e
",", ee  er8
"
139,el oe e eie,LOC,kraken,"nrsi
e le ", eie er ee
140,E,LOC,kraken,"3.
  -e
e
",", 
   
 
i"
141,eiee,LOC,kraken,"i
.. a
e  ","
. ea e.E!"
142,E e’e’,LOC,kraken,", 
-
-a 1
","et
  
sSt "
143,e-ue,LOC,kraken,"a
¬
-5¬
e,","
 e erdele"
144,Ee,LOC,kraken,"  
t S-e,
","
eree e ie"
145,Av,LOC,kraken,"&
 u a
  
","..
  S. : "
146,.6,LOC,kraken," .r 3
¬ 
 ",". ..
rt ’p"
147,"aC ue-ae
leie e e eie e le e i",LOC,kraken,"  r, .  
’"," ii¬
 ee t"
148,Ie’,LOC,kraken,"i le edie
",e r e’́ ee
149,"Es 

2é",LOC,kraken, r e’́ ee ," .
 ’, ’a."
150,Cee,LOC,kraken,"d ee reei
",".J
 a
Enri"
151,Ee,LOC,kraken,"1
a,
ei l ","  sle i
¬."
152,E-,LOC,kraken,"e i
¬..e 
","
.
e--e4?
"
153,EFc,LOC,kraken,"
̀ 
 o es ","
eteei
 ei"
154,"Fi

1",LOC,kraken,"e rpſe ie
","
 y
Ele le"
155,Aa,LOC,kraken,"e.-¬ſ.
e2
"," 
ee¬
e ee"
156,MIAIRESSE,LOC,kraken, D AME LA ,".
Gaspard "
157,champetre,LOC,kraken," VILLAGE.
",", le gouve"
158,Devise,LOC,kraken," sait
ca.
",-t-on dans
159,Norinel,LOC,kraken,"a fille h
","
Pauvre je"
160,Cachez,LOC,kraken," affront.
",-vous habi
161,Cachez,LOC,kraken,"e enfant.
",-vous habi
162,"compagnes,-",LOC,kraken,s sur vos ,".
10
MON V"
163,Cachez,LOC,kraken,"-en sres.
",-vous habi
164,Norine,LOC,kraken,La fille  , trouvait 
165,MO,LOC,kraken,"
Ll
rl.
l
"," vILLAGE.
"
166,Norine,LOC,kraken,trer chez ,".
Quand el"
167,Rose,LOC,kraken,"ercut, la ",", se figur"
168,L-1,LOC,kraken,"------.LL
","
I
1
MoN v"
169,I,LOC,kraken,"--.LL
L-1
","
1
MoN v1L"
170,Norine,LOC,kraken,esence de ,", de Desir"
171,couragement,LOC,kraken,"votre de-
",".
- Ohl ma"
172,Norine,LOC,kraken,"esse, dit ",",
flatte d"
173,Norine,LOC,kraken,"dame, dit ",", rendez-
"
174,Norine,LOC,kraken,e vieille , se jeta a
175,Norine,LOC,kraken,vres chez ,", et le so"
176,Arman-,LOC,kraken,endant qu',"
dinc, Dsi"
177,Morlincourt,LOC,kraken,icaire de ,",
qui vend"
178,Saint-Brunelle,LOC,kraken,virons de ,".
C'est tr"
179,gemit,LOC,kraken,"e, chacun ", par prevo
180,Craintifs,LOC,kraken,"ffections
",", le jour "
181,Sainl-Brunclle,LOC,kraken,"t cinq
de ",. Sur les 
182,Toinon,LOC,kraken,e fieu de ,".
J'irai h"
183,Norine,LOC,kraken," D'abord, ",", Desiree,"
184,Norine,LOC,kraken,conde de' ,; ensuite 
185,Toinon,LOC,kraken,; ensuite ,", la
petio"
186,Toinon,LOC,kraken,e fieu de ,", sont app"
187,B,LOC,kraken,ce par un ,", il faut "
188,Morlinval,LOC,kraken,n fieu de ,",
fou de c"
189,nu-,LOC,kraken,"airie, le ","
mero cent"
190,Toinon,LOC,kraken,e fieu de , arrivent 
191,Allons,LOC,kraken,"brassent.
",", allons: "
192,Saint-Brunelle,LOC,kraken,"es l Tout
", en serait
193,REVENANT3-,LOC,kraken,lamite.UN ,"
N1II
UN E"
194,N1II,LOC,kraken,"EVENANT3-
","
UN EVENAN"
195,entrcr,LOC,kraken,rser pour ," dans
notr"
196,pre Brugnon,LOC,kraken,trouve le ,", il ecst "
197,lage.-,LOC,kraken,"otre vil-
","..-
130
MO"
198,Saint-Brunelle,LOC,kraken,"a vallee, ", se presen
199,pre Brugnon,LOC,kraken," ainsi
le ",", se trouv"
200,pre Brugnon,LOC,kraken,", dans le ",".
Depuis q"
201,pre Brugnon,LOC,kraken,",
dans le ",", un grand"
202,A32,LOC,kraken,"r------
. ","
MON VILLA"
203,Dizy,LOC,kraken," VILLAGE.
", l'avare c
204,Perpetue,LOC,kraken," petiote 
", ajoutaien
205,Morlincourt,LOC,kraken,"urnant
de ",", elles av"
206,VILILAGE,LOC,kraken," sur-
MON ",".
33
les m"
207,cimetiere,LOC,kraken,s murs du ,", ct qu'el"
208,Jugezl,LOC,kraken,"l'esprit.
", ca se mit
209,MO N VILLAGE,LOC,kraken,"e 1
.
136
",".
- Parle "
210,Dizy,LOC,kraken,"uvait
l : ", l'usurier
211,servia,LOC,kraken,elle aura , quelque c
212,V1LLAGE,LOC,kraken,"e.140
MON ",".
J'opine "
213,Poulains,LOC,kraken,"es fosses
", ; et qu'h
214,me-,LOC,kraken,olles qui ,"
nent les "
215,Norine,LOC,kraken,"CES.
Chez ",", chez la "
216,Norine,LOC,kraken,ller chez ,".
Comme j'"
217,Rose,LOC,kraken,"'cole, la ","
et Norine"
218,Norine,LOC,kraken,"a Rose
et ", ; ce qu'e
219,Norine,LOC,kraken,a vieille , en pleurs
220,Pas dcja,LOC,kraken,"x si peul
"," si pcu.
L"
221,A,LOC,kraken,"l'eglise.
", cette heu
222,cctte ceremonie,LOC,kraken,jourd'hui ,"-la
se pas"
223,precher,LOC,kraken,"e cure
de ", longtemps
