Freq. centroide;Centroïde;Cluster;Annotation CENTROIDES;ANNOTATION
;Chine;Mathurinel;;FP
;Chine;Philistine;;FP
;Chine;Reflechissez;;FP
2;LLLL;;FP;
;LLLL;LL;;FP
;LLLL;LLLL;;FP
;LLLL;LLLLL;;FP
;LLLL;LLLLL.LLLLLLLLLL;;FP
;LLLL;LLLLLLLL;;FP
;LLLL;LLLLLLLLLLLLL.LL-.L-;;FP
;LLLL;LLnL;;FP
;LLLL;eLL;;FP
;LLLL;lLs-;;FP
16;MI;;FP;
;MI;MI;;FP
;MI;Midi;;AMBIG
;MI;xMi;;FP
1;ItEa;;FP;
;ItEa;Carmelites;;FP
;ItEa;Chateau-;;VP
;ItEa;Dites;;FP
;ItEa;ItEa;;FP
;ItEa;Sitot;;FP
;ItEa;Y',ea-;;FP
;ItEa;solennite;;FP
;ItEa;tY;;FP
3;Sarlande;;VP;
;Sarlande;G.f;;FP
;Sarlande;IardindesPlantes;;VP
;Sarlande;Inde;;VP
;Sarlande;Sarlandais;;FP
;Sarlande;Sarlande;;VP
;Sarlande;chemindeSarlande;;VP
;Sarlande;clochedeSarlande;;AMBIG
;Sarlande;collegedeSarlande;;VP
;Sarlande;cotedeSarlande;;VP
;Sarlande;debauchesdeSarlande;;AMBIG
;Sarlande;rL;;FP
